subj,fbgrp,blockorder,MC.C,MC.IC,MIC.C,MIC.IC,MC.C_acc,MC.IC_acc,MIC.C_acc,MIC.IC_acc,MC.C_IE,MC.IC_IE,MIC.C_IE,MIC.IC_IE
105,2,2,707.2424242,737.8484848,689.4333333,738.2413793,0.825,0.825,0.75,0.725,857.2635445,894.3617998,919.2444444,1018.263971
106,2,2,749.0540541,711.6,743.3939394,758.9310345,0.95,0.9,0.825,0.725,788.4779516,790.6666667,901.0835629,1046.801427
107,2,2,620.0833333,656.6486486,657.925,617.5675676,0.9,0.925,1,0.925,688.9814815,709.890431,657.925,667.6406136
108,2,2,580.975,585.6,586.3589744,601.974359,1,1,0.975,0.975,580.975,585.6,601.3938199,617.4095989
109,2,2,702.8974359,733.5,694.6363636,736.3666667,0.975,0.7,0.825,0.75,720.9204471,1047.857143,841.9834711,981.8222222
110,2,2,676.1333333,703.6551724,634.4444444,662.5,0.75,0.725,0.9,0.9,901.5111111,970.5588585,704.9382716,736.1111111
111,2,2,664.3783784,664.5405405,673.7777778,657.03125,0.925,0.925,0.9,0.8,718.2468955,718.422206,748.6419753,821.2890625
112,2,2,734.6060606,748.6129032,716.8857143,751.9090909,0.825,0.775,0.9,0.825,890.4315886,965.9521332,796.5396825,911.4049587
113,2,2,691.675,684.4358974,696.9,693.4594595,1,0.975,1,0.95,691.675,701.9855358,696.9,729.9573257
114,2,2,696.4166667,721.3333333,669.6111111,727.7647059,0.9,0.925,0.9,0.85,773.7962963,779.8198198,744.0123457,856.1937716
115,2,2,595.8974359,629.3235294,624,625.7368421,0.975,0.85,0.975,0.95,611.1768573,740.3806228,640,658.6703601
116,2,2,676.6666667,685.6785714,696.8918919,694.1764706,0.9,0.7,0.925,0.85,751.8518519,979.5408163,753.3966399,816.6782007
117,2,2,675.5277778,708.1081081,698.8684211,696.0540541,0.9,0.95,0.95,0.925,750.5864198,745.3769559,735.6509695,752.4908692
118,2,2,807.72,799.5555556,812.2592593,832.59375,0.625,0.675,0.675,0.8,1292.352,1184.526749,1203.347051,1040.742188
119,2,2,728.88,769.9259259,646.9714286,653.3421053,0.625,0.675,0.875,0.95,1166.208,1140.631001,739.3959184,687.7285319
120,2,2,571.9393939,607.3421053,574.3421053,584.3823529,0.825,0.95,0.95,0.85,693.2598714,639.3074792,604.5706371,687.5086505
