subj,fbgrp,blockorder,MC.C,MC.IC,MIC.C,MIC.IC,MC.C_acc,MC.IC_acc,MIC.C_acc,MIC.IC_acc,MC.C_IE,MC.IC_IE,MIC.C_IE,MIC.IC_IE
1,1,1,616.7718121,689.7407407,624.34375,657.4814815,0.965909091,0.84375,1,0.875,638.540229,817.4705075,624.34375,751.4074074
2,1,1,637.1515152,746.75,657.25,672.5,0.818181818,0.375,0.875,0.818181818,778.7407407,1991.333333,751.1428571,821.9444444
3,1,1,620.6122449,619.7419355,606,602.6423841,0.920454545,0.96875,0.96875,0.954545455,674.2454019,639.7336108,625.5483871,631.3396405
4,1,1,535.6666667,530.7666667,546.5806452,558.2013889,0.948863636,0.9375,0.96875,0.948863636,564.5349301,566.1511111,564.2122789,588.2840985
5,1,1,557.261745,595.0645161,537.1666667,563.7748344,0.960227273,0.96875,0.96875,0.977272727,580.3435924,614.2601457,554.4946237,576.8858771
6,1,1,600.7300613,639.516129,662.3666667,671.6923077,0.977272727,0.96875,0.9375,0.909090909,614.7005279,660.1456816,706.5244444,738.8615385
7,1,1,624.1960784,616.3333333,694.7419355,728.972973,0.988636364,0.9375,0.96875,0.943181818,631.370746,657.4222222,717.1529657,772.8870075
8,1,1,536.4630872,506.9333333,591.7096774,581.414966,0.977272727,0.9375,0.96875,0.9375,548.938973,540.7288889,610.7970864,620.1759637
9,1,1,499.8910256,548.8125,578.4375,582.218543,0.994318182,1,1,0.960227273,502.7475458,548.8125,578.4375,606.334104
10,1,1,609.4328358,728.7419355,661.3703704,667.7878788,0.9375,0.96875,0.84375,0.863636364,650.0616915,752.2497399,783.8463649,773.2280702
11,1,1,483.4466667,525.483871,528.2580645,573.2866242,0.994318182,0.96875,0.96875,0.994318182,486.209219,542.4349636,545.2986472,576.5625478
12,1,1,553.8857143,580.36,559.9032258,546.6923077,0.886363636,0.78125,0.96875,0.954545455,624.8967033,742.8608,577.9646202,572.7252747
13,1,1,631.147651,672.8333333,656.03125,637.7062937,0.960227273,0.9375,1,0.948863636,657.2898614,717.6888889,656.03125,672.0736988
14,1,1,594.7552448,593.4,577.8064516,599.5197368,0.914772727,0.78125,0.96875,0.943181818,650.1672241,759.552,596.4453694,635.6353836
15,1,1,514.5347222,573.8214286,597.8125,587.2727273,0.931818182,0.90625,1,0.943181818,552.1836043,633.182266,597.8125,622.6506024
16,1,1,593.2857143,639.3333333,655.3870968,627.8653846,0.982954545,0.9375,0.96875,0.642045455,603.5739059,681.9555556,676.528616,977.9142274
17,1,1,524.2896552,605.4074074,594.34375,632.0860927,0.971590909,0.84375,1,0.960227273,539.619762,717.5198903,594.34375,658.2671735
18,1,1,556.88125,601.0645161,555.1875,576.283871,0.988636364,0.96875,1,0.977272727,563.2821839,620.4536941,555.1875,589.6858215
19,1,1,690.4353741,675.6551724,675.0714286,695.3378378,0.926136364,0.90625,0.875,0.926136364,745.5007721,745.5505351,771.5102041,750.7942298
20,1,1,529.716129,656.9285714,531.9354839,569.3607595,0.971590909,0.875,0.96875,0.960227273,545.2049047,750.7755102,549.094693,592.9437495
21,1,1,708.6567164,737.6666667,748.962963,720.025641,0.840909091,0.75,0.875,0.772727273,842.726906,983.5555556,855.957672,931.7978884
22,1,1,532.2727273,551.3793103,512.3225806,547.2176871,0.954545455,0.90625,0.96875,0.965909091,557.6190476,608.4185493,528.8491155,566.5312525
23,1,1,564.6382979,559.9,561.2333333,578.1677852,0.914772727,0.9375,0.9375,0.960227273,617.2443505,597.2266667,598.6488889,602.1155633
24,1,1,610.7677419,666.5666667,709.0333333,692.224359,0.994318182,0.9375,0.96875,0.994318182,614.2578433,711.0044444,731.9053763,696.1799267
25,1,1,561.5350318,550.1,648.2580645,609.8690476,0.988636364,0.9375,0.96875,0.505681818,567.9894575,586.7733333,669.169615,1206.033173
26,1,1,589.0821918,596.5517241,598.3225806,607.8819444,0.954545455,0.90625,0.96875,0.943181818,617.1337247,658.2639715,617.6233091,644.5013387
27,1,1,575.4066667,579.9642857,586.1481481,580.1764706,0.960227273,0.875,0.84375,0.875,599.2400789,662.8163265,694.6941015,663.0588235
28,1,1,610.0699301,607.7741935,618.0909091,643.6544118,0.909090909,0.96875,0.71875,0.863636364,671.0769231,627.3798127,859.9525692,745.2840557
29,1,1,536.6878981,549.3225806,539.5625,571.1180556,0.994318182,0.96875,1,0.977272727,539.7546861,567.0426639,539.5625,584.3998708
30,1,1,530.0063694,605.7096774,583.1724138,572.2080537,0.982954545,1,0.90625,0.931818182,539.1972313,605.7096774,643.5005945,614.0769357
31,1,2,608.974359,675.8214286,585.3225806,641.7218543,0.971590909,0.875,1,0.977272727,626.7806268,772.3673469,585.3225806,656.6456184
32,1,2,617.1398601,617.9677419,645.96875,650.3172414,0.954545455,0.96875,1,0.948863636,646.5274725,637.9021852,645.96875,685.3642783
33,1,2,565.5870968,635.6666667,524.3846154,576.7925926,0.971590909,0.84375,0.8125,0.846590909,582.1247312,753.382716,645.3964497,681.3120557
34,1,2,649.3589744,645.21875,599.5,602.1780822,0.988636364,1,1,0.977272727,656.8228706,645.21875,599.5,616.1822236
35,1,2,579.013245,595.875,623.3125,650.8,0.994318182,1,1,0.971590909,582.3218921,595.875,623.3125,669.8292398
36,1,2,656.4054054,666.1153846,652.5555556,681.480315,0.926136364,0.8125,0.84375,0.789772727,708.7567568,819.8343195,773.399177,862.8815499
37,1,2,885.6,873.2962963,875.0384615,871.4920635,0.875,0.84375,0.8125,0.806818182,1012.114286,1035.017833,1076.970414,1080.159177
38,1,2,616.1655172,677.4,626.2068966,625.5957447,0.954545455,0.8125,0.9375,0.892045455,645.5067323,833.7230769,667.954023,701.3047838
39,1,2,899.5804196,916.7391304,910.52,922.7007874,0.892045455,0.71875,0.78125,0.806818182,1008.44684,1275.463138,1165.4656,1143.629145
40,1,2,594.1186441,593.5333333,591.516129,620.6736111,0.744318182,0.46875,0.96875,0.914772727,798.2052012,1266.204444,610.5972945,678.5003451
41,1,2,576.5106383,631.5714286,537.2258065,560.2152778,0.920454545,0.875,0.96875,0.9375,626.3325453,721.7959184,554.5556712,597.562963
42,1,2,515.2893082,574.1071429,522.90625,535.787234,0.971590909,0.875,1,0.954545455,530.356247,656.122449,522.90625,561.3009119
43,1,2,882.9685039,881.96,892,888.5294118,0.829545455,0.78125,0.65625,0.8125,1064.400388,1128.9088,1359.238095,1093.574661
44,1,2,592.5743243,560.9032258,544.40625,577.2253521,0.954545455,0.96875,1,0.914772727,620.7921493,578.9968783,544.40625,631.0041116
45,1,2,614.6875,612.0344828,602.1935484,618.8543046,0.920454545,0.90625,0.96875,0.965909091,667.808642,675.3483948,621.6191467,640.6962213
46,1,2,696.9710145,766.25,699.4285714,695.6186441,0.886363636,0.75,0.65625,0.772727273,786.3262728,1021.666667,1065.795918,900.2123629
47,1,2,630.2385321,698.8823529,599.5384615,582.2260274,0.715909091,0.5625,0.8125,0.892045455,880.3331877,1242.457516,737.8934911,652.6865021
48,1,2,587.8918919,568.25,505.25,497.9251701,0.965909091,0.90625,1,0.982954545,608.6410175,627.0344828,505.25,506.5597106
49,1,2,616.5266667,626.7916667,560.875,593.4161491,0.960227273,0.75,1,0.994318182,642.0632742,835.7222222,560.875,596.8070985
50,1,2,570.3087248,574.516129,513,558.2450331,0.988636364,0.96875,0.96875,0.977272727,576.8639975,593.0489074,529.5483871,571.2274757
51,1,2,546.9803922,523.28125,518.25,519.5099338,0.977272727,1,1,0.982954545,559.7008664,523.28125,518.25,528.5187766
52,1,2,608.8,632.2083333,560.8148148,605.0141844,0.931818182,0.75,0.84375,0.920454545,653.3463415,842.9444444,664.6694102,657.2993608
53,1,2,546.8101266,552.5625,527.75,530.0326797,1,1,1,0.988636364,546.8101266,552.5625,527.75,536.1250094
54,1,2,648.58,650.0322581,653.0344828,650.4195804,0.948863636,0.96875,0.90625,0.914772727,683.5334132,671.0010406,720.5897741,711.017678
55,1,2,592.2569444,594.34375,582.3,585.85,0.926136364,1,0.9375,0.920454545,639.4921609,594.34375,621.12,636.4790123
56,1,2,600.8767123,631.9,658.3684211,664.5346535,0.943181818,0.9375,0.59375,0.625,637.0741046,674.0266667,1108.831025,1063.255446
57,1,2,663.2814815,674,578.9655172,621.2112676,0.943181818,0.78125,0.90625,0.914772727,703.2381972,862.72,638.8585018,679.0880938
58,1,2,588.2960526,658.1,554.09375,616.9864865,0.988636364,0.9375,1,0.971590909,595.0580762,701.9733333,554.09375,635.027027
59,1,2,619.1688312,717.8,599.9032258,602.4620253,0.977272727,0.9375,0.96875,0.977272727,633.5681063,765.6533333,619.2549428,616.4727701
60,1,2,556.9197531,552.6774194,540.516129,556.5342466,0.982954545,1,0.96875,0.994318182,566.5773211,552.6774194,557.9521332,559.7144423
61,2,1,577.2605634,577.2580645,592.3103448,618.4480519,0.920454545,0.96875,0.90625,0.926136364,627.1472787,595.8792924,653.5838288,667.7721297
62,2,1,541.6862745,543.2,563.6875,569.8451613,0.965909091,0.9375,1,0.988636364,560.8046136,579.4133333,563.6875,576.3951057
63,2,1,633.0067114,627.9354839,605.15625,641.1733333,0.971590909,0.96875,1,0.971590909,651.5156796,648.1914672,605.15625,659.9210916
64,2,1,690.7342657,728.5833333,703.3333333,759.8317757,0.903409091,0.75,0.75,0.6875,764.586357,971.4444444,937.7777778,1105.209856
65,2,1,546.2875,639.5555556,565.3870968,578.1357143,0.977272727,0.84375,0.96875,0.954545455,558.9918605,757.9917695,583.6253902,605.6659864
66,2,1,602.4236111,635.92,583.0344828,587.3216783,0.914772727,0.78125,0.90625,0.920454545,658.5500345,813.9776,643.3483948,638.0778727
67,2,1,577.9220779,575.2666667,605.59375,600.3310811,0.988636364,0.96875,1,0.977272727,584.5648604,593.8236559,605.59375,614.292269
68,2,1,597.9876543,639.59375,569.3125,554.0251572,0.982954545,1,1,0.994318182,608.3573824,639.59375,569.3125,557.1910153
69,2,1,623.2352941,639.4285714,653,654.6567164,0.954545455,0.875,0.875,0.886363636,652.9131653,730.7755102,746.2857143,738.5870647
70,2,1,603.2941176,619.1785714,645.0689655,656.3138686,0.943181818,0.875,0.90625,0.897727273,639.6371368,707.6326531,711.8002378,731.083803
71,2,1,618.4934211,647.4333333,637.137931,671.3541667,0.977272727,0.9375,0.9375,0.9375,632.876989,690.5955556,679.6137931,716.1111111
72,2,1,550.0261438,556.2758621,574.6071429,592.9637681,0.954545455,0.90625,0.875,0.886363636,576.2178649,613.8216409,656.6938776,668.984764
73,2,1,745.3426573,804.2941176,755.1923077,726.4596774,0.909090909,0.53125,0.8125,0.801136364,819.8769231,1513.965398,929.4674556,906.7865477
74,2,1,572.0680272,554.6774194,554.7777778,634.4109589,0.948863636,0.96875,0.84375,0.897727273,602.8980407,572.5702393,657.5144033,706.6856251
75,2,1,628.5359477,650.7666667,712.2307692,677.4832215,0.965909091,0.9375,0.84375,0.965909091,650.7195694,694.1511111,844.1253561,701.394394
76,2,1,640.9724138,645.9333333,699.1666667,692.0416667,0.903409091,0.9375,0.9375,0.909090909,709.5040555,688.9955556,745.7777778,761.2458333
77,2,1,593.4258065,685.2758621,620.3125,630.9068323,0.982954545,0.90625,1,0.982954545,603.7164274,756.1664685,620.3125,641.8474132
78,2,1,513.0662252,518.5333333,539.2758621,542.3378378,0.965909091,0.9375,0.90625,0.960227273,531.1744449,553.1022222,595.0630202,564.8015353
79,2,1,604.5466667,596.6774194,631.9666667,617.8604651,0.954545455,0.96875,0.9375,0.857954545,633.3346032,615.925078,674.0977778,720.1552441
80,2,1,554.2962963,589.53125,579.25,585.5384615,0.988636364,1,1,0.994318182,560.6675181,589.53125,579.25,588.8843956
81,2,1,634.4,652.3076923,668.3666667,672.0897436,0.931818182,0.8125,0.9375,0.954545455,680.8195122,802.8402367,712.9244444,704.0940171
82,2,1,591.6265823,624.7419355,688.5483871,648.6078431,1,0.96875,0.96875,0.960227273,591.6265823,644.8949011,710.7596254,675.4732568
83,2,1,579.0555556,568.2068966,587.6551724,604.5492958,0.9375,0.90625,0.90625,0.886363636,617.6592593,626.9869203,648.4470868,682.0556157
84,2,1,535.8961039,568.9285714,517.5517241,564.9795918,0.977272727,0.875,0.9375,0.948863636,548.358804,650.2040816,552.0551724,595.4275938
85,2,1,576.5503356,663.4074074,643.1935484,599.6283784,0.954545455,0.84375,0.96875,0.954545455,604.0051135,786.260631,663.9417274,628.1821107
86,2,1,855.8897059,868.92,893.4230769,871.9795918,0.869318182,0.78125,0.84375,0.931818182,984.5528643,1112.2176,1058.871795,935.7829766
87,2,1,582.1623377,584.2758621,621.2068966,612.4025157,0.960227273,0.90625,0.90625,0.988636364,606.2755706,644.7181926,685.469679,619.4416251
88,2,1,678.1111111,659.2666667,649.5,660.6883117,0.971590909,0.9375,1,1,697.9389214,703.2177778,649.5,660.6883117
89,2,1,661.2789116,655.9666667,618.3214286,606.6375839,0.948863636,0.9375,0.875,0.943181818,696.9166972,699.6977778,706.6530612,643.1820167
90,2,1,575.0510949,569.8846154,559.7391304,550.109375,0.931818182,0.8125,0.71875,0.8125,617.1280043,701.3964497,778.7674858,677.0576923
91,2,2,628.1409396,652.5185185,596.4642857,626.7692308,0.920454545,0.84375,0.875,0.909090909,682.4247245,773.3552812,681.6734694,689.4461538
92,2,2,493.1677852,497.1935484,521.8709677,502.0980392,0.965909091,0.96875,1,0.982954545,510.5737071,513.2320499,521.8709677,510.8049416
93,2,2,629.50625,674.0625,600.0666667,605.6225166,1,1,0.9375,0.982954545,629.50625,674.0625,640.0711111,616.1246411
94,2,2,627.8680556,648.0769231,712.2692308,668.8789809,0.926136364,0.8125,0.8125,0.971590909,677.9434219,797.6331361,876.6390533,688.4368458
95,2,2,613.5035971,662.8571429,636.76,595.3169014,0.897727273,0.65625,0.84375,0.903409091,683.396412,1010.068027,754.6785185,658.9671362
96,2,2,523.5578231,599.8,515.875,525.189781,0.943181818,0.78125,0.75,0.892045455,555.097451,767.744,687.8333333,588.74778
97,2,2,696.3806452,703.59375,680.2903226,671.3821656,0.994318182,1,0.96875,0.994318182,700.3599631,703.59375,702.2351717,675.2186351
98,2,2,675.1702128,656.3461538,623.2857143,653.027972,0.931818182,0.8125,0.875,0.920454545,724.5729113,807.8106509,712.3265306,709.4624881
99,2,2,654.1176471,622.15625,639.3225806,625.7908497,0.960227273,1,0.96875,0.971590909,681.2112774,622.15625,659.9458897,644.0888277
100,2,2,539.6066667,642.08,530.7,545.3576159,0.965909091,0.78125,0.9375,0.954545455,558.6516078,821.8624,566.08,571.3270262
101,2,2,652.6934307,654.2142857,718.6666667,653.3496503,0.886363636,0.875,0.875,0.960227273,736.3720756,747.6734694,821.3333333,680.4114702
102,2,2,588.3741497,598.6875,571.6333333,568.3741497,0.926136364,1,0.9375,0.9375,635.2996953,598.6875,609.7422222,606.2657596
103,2,2,533.6772152,546.3225806,524.8709677,551.5034014,0.977272727,0.96875,0.96875,0.988636364,546.0883132,563.9458897,541.8022893,557.8425209
104,2,2,670.2676056,670.7931034,661.5333333,684.1942446,0.903409091,0.90625,0.9375,0.920454545,741.9314377,740.1854935,705.6355556,743.3221423
105,2,2,685.3943662,723.2962963,652.0357143,668.7342657,0.897727273,0.84375,0.875,0.886363636,763.4772687,857.2400549,745.1836735,754.469428
106,2,2,671.0821918,703.8,642.5517241,639.5133333,0.948863636,0.625,0.90625,0.931818182,707.2482979,1126.08,709.0225922,686.3069919
107,2,2,657.0758621,657.2413793,593.4333333,584.0909091,0.965909091,0.90625,0.9375,0.977272727,680.2667748,725.2318668,632.9955556,597.6744186
108,2,2,569.6993865,578.3125,547.2580645,540.0394737,0.994318182,1,1,1,572.9548116,578.3125,547.2580645,540.0394737
109,2,2,648.6578947,753.5833333,708.5555556,696.3583333,0.943181818,0.75,0.84375,0.767045455,687.7336715,1004.777778,839.7695473,907.8449383
110,2,2,656.7246377,728.3333333,617.3448276,615.3223684,0.892045455,0.65625,0.90625,0.948863636,736.2008677,1109.84127,681.2080856,648.4834541
111,2,2,611.6967742,595.2258065,601.8709677,637.0066667,0.960227273,0.96875,0.96875,0.960227273,637.033327,614.4266389,621.2861602,663.3915582
112,2,2,693.5285714,675.7586207,749.6666667,715.904,0.926136364,0.90625,0.75,0.840909091,748.8406661,745.6646849,999.5555556,851.3452973
113,2,2,675.515528,664.9032258,630.0322581,643.725,0.988636364,0.96875,0.96875,0.977272727,683.2800742,686.351717,650.3558793,658.6953488
114,2,2,655.2165605,716.76,672.12,691.4117647,0.954545455,0.78125,0.78125,0.892045455,686.4173491,917.4528,860.3136,775.0857999
115,2,2,593.5945946,611.6551724,562.3125,582.2450331,0.965909091,0.9375,1,0.982954545,614.5449921,652.4321839,562.3125,592.3417678
116,2,2,612.2352941,655.5172414,604.53125,602.3026316,0.954545455,0.90625,1,0.965909091,641.3893557,723.3293698,604.53125,623.5603715
117,2,2,647.9041096,633.6551724,657.1612903,672.537415,0.943181818,0.90625,0.96875,0.954545455,686.9344776,699.2057075,678.3600416,704.5630062
118,2,2,773.5565217,808.1666667,791.9259259,752.4927536,0.732954545,0.5625,0.84375,0.846590909,1055.394944,1436.740741,938.5788752,888.8505009
119,2,2,683.6857143,691.75,590.2413793,641.016,0.869318182,0.8125,0.90625,0.863636364,786.4619981,851.3846154,651.3008323,742.2290526
120,2,2,566.1564626,596.3666667,535,553.0394737,0.9375,0.9375,0.96875,0.954545455,603.9002268,636.1244444,552.2580645,579.3746867
