subj,fbgrp,blockorder,MC.C,MC.IC,MIC.C,MIC.IC,MC.C_acc,MC.IC_acc,MIC.C_acc,MIC.IC_acc,MC.C_IE,MC.IC_IE,MIC.C_IE,MIC.IC_IE
1,1,1,583.1592357,605.3103448,596.483871,617.9589041,0.994318182,0.90625,0.96875,0.948863636,586.4915742,667.9286564,615.7252862,651.2620786
2,1,1,653.2368421,688,640.5,609.9925926,0.943181818,0.8125,0.9375,0.846590909,692.5884591,846.7692308,683.2,720.5281631
3,1,1,627.7651007,652,596.1428571,596.5714286,0.943181818,0.8125,0.875,0.965909091,665.5822754,802.4615385,681.3061224,617.6268908
4,1,1,568.5414013,575.4333333,609.3548387,627.3172414,0.982954545,0.9375,0.96875,0.948863636,578.4005007,613.7955556,629.0114464,661.1247574
5,1,1,655.2167832,674.9677419,646.3333333,665.9931034,0.9375,0.96875,0.9375,0.920454545,698.8979021,696.7408949,689.4222222,723.548063
6,1,1,572.1409396,615.5517241,572.5806452,604.6052632,0.977272727,0.90625,0.96875,0.988636364,585.4465428,679.2294887,591.0509886,611.5547489
7,1,1,641.9383562,672.8333333,709.0344828,704.6507937,0.954545455,0.9375,0.90625,0.823863636,672.5068493,717.6888889,782.3828775,855.3002737
8,1,1,565.2848101,581.0645161,524.8387097,587.2352941,0.988636364,0.96875,0.96875,0.977272727,571.7823367,599.8085328,541.7689906,600.8919289
9,1,1,679.1419355,667.4137931,743.8461538,779.9565217,0.977272727,0.9375,0.8125,0.420454545,694.935934,711.908046,915.5029586,1855.031727
10,1,1,527.24,563.2857143,524.6785714,546.9426752,0.960227273,0.875,0.90625,0.971590909,549.0783432,643.755102,578.955665,562.935151
11,1,1,782.7635135,768.0384615,812.45,822.1413043,0.943181818,0.8125,0.625,0.625,829.917942,945.2781065,1299.92,1315.426087
12,1,1,668.3138686,696.6153846,685.3,681.6554054,0.920454545,0.8125,0.9375,0.909090909,726.0693881,857.3727811,730.9866667,749.8209459
13,1,1,510.4267516,595.7037037,518.4193548,536.4863014,0.982954545,0.875,0.96875,0.954545455,519.2780825,680.8042328,535.1425598,562.0332681
14,1,1,591.5151515,579.92,564.46875,585.8194444,0.835227273,0.78125,1,0.926136364,708.2086168,742.2976,564.46875,632.5412406
15,1,1,597.9722222,625.1724138,635.5333333,646.3288591,0.909090909,0.90625,0.9375,0.954545455,657.7694444,689.8454221,677.9022222,677.1064238
16,1,2,668.0245902,612.3043478,704.4074074,670.5820896,0.795454545,0.75,0.84375,0.835227273,839.8023419,816.4057971,834.8532236,802.8737943
17,1,2,649.1958042,728.8571429,644.90625,633.8947368,0.909090909,0.6875,1,0.886363636,714.1153846,1060.155844,644.90625,715.1632928
18,1,2,662.6428571,637.2105263,692.76,684.2253521,0.795454545,0.59375,0.78125,0.880681818,833.0367347,1073.196676,886.7328,776.9268514
19,1,2,545.7922078,525.5,550.3225806,553.4933333,0.971590909,1,0.96875,0.943181818,561.7510443,525.5,568.074922,586.8363052
20,1,2,634.1612903,650.7894737,571.7333333,606.8413793,0.795454545,0.59375,0.9375,0.931818182,797.2313364,1096.066482,609.8488889,651.2444071
21,1,2,753.3851852,814.25,720.3333333,734.9473684,0.869318182,0.625,0.9375,0.869318182,866.6391673,1302.8,768.3555556,845.4296526
22,1,2,578.74375,632.7419355,608.5714286,610.3866667,0.988636364,0.96875,0.90625,0.954545455,585.395977,653.1529657,671.5270936,639.4526984
23,1,2,603.1313869,621.24,543.8,617.5725806,0.875,0.78125,0.78125,0.789772727,689.2930136,795.1872,696.064,781.9624043
24,1,2,642.48,777.8947368,621.72,687.4117647,0.931818182,0.59375,0.78125,0.823863636,689.4907317,1310.138504,795.8016,834.3756592
25,1,2,656.8911565,690.7307692,641.6896552,641.1985294,0.926136364,0.8125,0.90625,0.914772727,709.2812487,850.1301775,708.0713436,700.9375228
26,1,2,546.7142857,578.516129,545.2258065,556.1721854,0.965909091,0.96875,0.96875,0.977272727,566.010084,597.1779396,562.8137357,569.1064223
