subjID,fb,MIC.C,MIC.IC,MC.C,MC.IC,MIC.C.T,MIC.IC.T,MC.C.T,MC.IC.T
101,2,687.92,701.375,640.8482759,652,639.6363636,665.2285714,636.9428571,631.1111111
102,2,756.4230769,773.1134752,719.7342657,776.4130435,762.483871,787.5882353,742.5,726.8787879
103,2,623,616.8039216,614.25,618.4230769,614.8888889,624.40625,625.0588235,649.2777778
104,2,645.96,667.6143791,660.0902778,660.6078431,673.5294118,695.25,653.5,658.5454545
105,2,661.2608696,695.1544715,676.1417323,698.4146341,666.1052632,703.0526316,649.6666667,704.8
106,2,643.6346154,656.1586207,637.2649007,644.6415094,648.4848485,630.96875,635.4705882,632.3333333
107,2,616.88,657.0071942,625.5684932,659.34,617,636.03125,589.2058824,611.5142857
108,2,612.2264151,615.1486486,587.0714286,618.6923077,631.9166667,620.2727273,572.8823529,584.9444444
109,2,666.9803922,664.4832215,649.2631579,647.7142857,612.8076923,623,634.1612903,637.1818182
110,2,617.7115385,632.3866667,646.589404,663.3846154,588.5428571,589.6111111,635.0588235,660.4242424
111,2,608.3018868,604.3931034,664.5655172,676.1818182,590.2727273,611.3333333,628.6875,651.9677419
112,2,545.4042553,596.3537415,583.1760563,590.0588235,551.4411765,566.3428571,603.4444444,595.1428571
113,2,673.6415094,705.8630137,717.013986,715.0416667,709.3235294,735.7941176,746.1388889,721.7777778
114,2,647.6037736,636.3767123,668.3793103,664.3191489,601.7419355,623.2647059,655.9393939,638.7352941
115,2,673.6415094,705.8630137,717.013986,715.0416667,709.3235294,735.7941176,746.1388889,721.7777778
116,2,739.3333333,771.4,742.620915,753.54,696.7352941,722.3235294,710.7142857,692.1875
117,2,662.32,698.6180556,725.1304348,745.6363636,649.3823529,619.0909091,678.6857143,671.5588235
118,2,518,513.8571429,521.3961039,517.6981132,496.3636364,522.5142857,512.6764706,526.3823529
119,2,597.8269231,597.0763889,601.2105263,605.4038462,561.4166667,568.5277778,574.5882353,612.9117647
120,2,595.56,620.4027778,637.2773723,633.4042553,592.7647059,613.1764706,615.6060606,633.3823529
