subjID,fb,MIC.C,MIC.IC,MC.C,MC.IC,MIC.C.T,MIC.IC.T,MC.C.T,MC.IC.T
92,2,649,648.860486,646.3457386,646.3518519,653.7923875,654.446281,653.486631,612.1714286
93,2,646.9855967,684.9416967,759.6603565,779.8846154,643.2571429,678.0016807,763.4117647,733.982699
94,2,709.828125,734.0026316,700.0016102,716.6448,630.1910204,646.2453782,636.6850321,673.5536332
95,2,813.1171875,846.7883212,821.9489699,1121.654492,730.9307958,765.1654412,790.816609,803.8378906
96,2,670.2228551,702.2327044,679.4541854,721.3008188,704.4723183,657.7941176,667.5134694,687.2698962
97,2,654.9550173,718.4367123,711.6518607,744.7771762,684.5955882,690.802139,714.0234375,690.228739
98,2,618.4775087,653.0582192,655.7781721,713.0528946,654.3984375,654.2595156,678.5742188,695.9354839
99,2,710.6268491,683.7996015,682.0853503,675.8284024,703.2460973,744.9586777,713.6149733,719.5690236
100,2,652.5560698,680.444321,746.8685174,840.4852145,649.5849206,672.2621849,693.287395,699.7880623
101,2,742.9536,762.9822635,687.2254537,704.16,677.2620321,683.7071429,636.9428571,631.1111111
102,2,784.967344,863.7543654,788.2803863,911.4413989,860.8688866,833.916955,835.3125,814.9853076
103,2,623,628.4417314,625.8396226,630.0914369,631.9691358,681.1704545,625.0588235,649.2777778
104,2,697.6368,697.7647059,694.6048021,698.7198341,692.7731092,695.25,690.8428571,698.4573003
105,2,759.746531,886.7324755,830.9833504,914.5905923,1198.989474,1332.099723,899.5384615,975.8769231
106,2,680.7673817,695.010118,657.5599612,656.8045568,687.7869605,709.8398438,691.5415225,689.8181818
107,2,653.8928,739.1330935,666.4553228,712.0872,653.2941176,693.8522727,606.5354671,646.4579592
108,2,612.2264151,642.9295554,601.9339964,642.4881657,631.9166667,656.7593583,589.7318339,601.1929012
109,2,706.2145329,717.2898351,757.4736842,699.5314286,848.5029586,773.3793103,736.4453694,695.107438
110,2,629.3664731,652.5263694,675.9798314,701.6568047,588.5428571,605.9891975,672.4152249,700.4499541
111,2,619.7792809,623.6412915,703.9147913,845.2272727,643.9338843,666.9090909,707.2734375,711.2375367
112,2,613.5797872,656.7949991,630.1432555,624.7681661,567.1966387,566.3428571,603.4444444,611.6746032
113,2,686.3517266,747.3843674,774.3751049,804.421875,729.589916,756.8168067,746.1388889,721.7777778
114,2,659.8227127,674.0569124,712.0642326,763.2602988,698.7970864,641.0722689,695.6932966,695.0942907
115,2,686.3517266,747.3843674,774.3751049,804.421875,729.589916,756.8168067,746.1388889,721.7777778
116,2,753.0246914,790.9291139,751.9620586,813.8232,737.7197232,742.9613445,731.0204082,711.9642857
117,2,728.552,754.5075,805.1448276,894.7636364,649.3823529,673.7165775,678.6857143,690.7462185
118,2,527.7735849,520.2803571,534.5960053,527.4660021,541.4876033,537.4432653,542.83391,541.4218487
119,2,620.8202663,620.1890233,620.3573584,640.3309911,561.4166667,568.5277778,574.5882353,648.9653979
120,2,642.2705882,670.035,717.4941044,727.7410593,610.1989619,649.2456747,690.224977,651.4789916
