subj,fbgrp,blockorder,MC.C,MC.IC,MIC.C,MIC.IC,MC.C_acc,MC.IC_acc,MIC.C_acc,MIC.IC_acc,MC.C_IE,MC.IC_IE,MIC.C_IE,MIC.IC_IE,Experiment
1,1,1,630.625,650.6410256,618.3,663.1388889,1,0.975,1,0.9,630.625,667.3241289,618.3,736.8209877,0
2,1,1,674.9714286,694.7714286,667.8285714,700.3714286,0.875,0.875,0.875,0.875,771.3959184,794.0244898,763.2326531,800.4244898,0
3,1,1,622.5277778,623.3529412,639.95,628.4594595,0.9,0.85,1,0.925,691.6975309,733.3564014,639.95,679.4156318,0
4,1,1,628.0909091,658.8148148,614.1891892,638.2777778,0.825,0.7,0.925,0.9,761.322314,941.1640212,663.9883126,709.1975309,0
5,1,1,682.1081081,679,670.5757576,666.5526316,0.925,0.9,0.825,0.95,737.4141709,754.4444444,812.8191001,701.634349,0
6,1,1,641.7714286,683.4864865,656.6451613,672.8055556,0.875,0.925,0.775,0.9,733.4530612,738.9043097,847.2840791,747.5617284,0
7,1,1,748.1142857,744.03125,725.4193548,796.375,0.875,0.8,0.775,0.6,854.9877551,930.0390625,936.024974,1327.291667,0
8,1,1,685.6756757,757.7857143,661.8684211,737.4193548,0.925,0.725,0.95,0.8,741.2710007,1045.221675,696.7036011,921.7741935,0
9,1,1,753.4848485,764.3888889,775.4848485,753.3,0.825,0.9,0.825,0.5,913.3149679,849.3209877,939.9816345,1506.6,0
10,1,1,541.2631579,538.1578947,551.2820513,548.2702703,0.95,0.975,1,0.925,569.7506925,551.9568151,551.2820513,592.7246165,0
11,1,1,863.2333333,898.137931,862.4615385,874.9545455,0.75,0.75,0.65,0.55,1150.977778,1197.517241,1326.863905,1590.826446,0
12,1,1,700.3714286,742.6571429,687.5405405,684.3823529,0.9,0.875,0.925,0.875,778.1904762,848.7510204,743.2870709,782.1512605,0
13,1,1,573.4473684,584.1538462,539.375,564.4102564,0.95,0.975,1,0.975,603.6288089,599.1321499,539.375,578.8823143,0
14,1,1,628.8333333,665.6756757,621.2432432,641.4375,0.75,0.925,0.925,0.8,838.4444444,719.6493791,671.614317,801.796875,0
15,1,1,664.3870968,670.4583333,652.75,677.8055556,0.775,0.625,0.925,0.9,857.2736733,1072.733333,705.6756757,753.117284,0
16,1,2,786.4782609,777.8387097,730.4722222,723.7941176,0.575,0.775,0.9,0.85,1367.78828,1003.662851,811.6358025,851.5224913,0
17,1,2,738.4193548,745.1818182,719.7878788,729.8888889,0.775,0.85,0.825,0.925,952.7991675,876.684492,872.4701561,789.0690691,0
18,1,2,766.8064516,764.9047619,728.2857143,703.6129032,0.775,0.525,0.875,0.775,989.4276795,1456.961451,832.3265306,907.8876171,0
19,1,2,569.6,613.4444444,583.8857143,604.3846154,1,0.9,0.9,1,569.6,681.6049383,648.7619048,604.3846154,0
20,1,2,672.8,706.3478261,626.9666667,630.9375,0.5,0.6,0.75,0.8,1345.6,1177.246377,835.9555556,788.671875,0
21,1,2,802.8275862,809.08,795.3870968,777.3461538,0.725,0.625,0.775,0.65,1107.348395,1294.528,1026.305931,1195.91716,0
22,1,2,601.3157895,666.6578947,602.3888889,627.4324324,0.95,0.975,0.9,0.925,632.9639889,683.7516869,669.3209877,678.3053324,0
23,1,2,638.03125,668.8518519,605.5652174,650.4,0.8,0.675,0.6,0.65,797.5390625,990.8916324,1009.275362,1000.615385,0
24,1,2,671.6216216,719.0857143,693.9705882,734.030303,0.925,0.875,0.875,0.825,726.0774288,821.8122449,793.1092437,889.7337006,0
25,1,2,652,680.7307692,704.0526316,678,0.675,0.65,0.95,0.875,965.9259259,1047.278107,741.1080332,774.8571429,0
26,1,2,571.1212121,580.6216216,582.5277778,622.1111111,0.85,0.925,0.9,0.9,671.9073084,627.6990504,647.2530864,691.2345679,0
27,1,2,616.3783784,638.4615385,602.9210526,632.4594595,0.925,0.975,0.95,0.925,666.3550037,654.8323471,634.6537396,683.7399562,0
28,1,2,652.2121212,641,644.2727273,653.40625,0.825,0.85,0.825,0.8,790.5601469,754.1176471,780.9366391,816.7578125,0
29,1,2,625.2432432,666.1578947,627.6052632,642.0909091,0.925,0.95,0.95,0.825,675.9386413,701.2188366,660.6371191,778.292011,0
30,1,2,669.3783784,704.3823529,675.6470588,695.9189189,0.925,0.85,0.85,0.925,723.6523009,828.6851211,794.8788927,752.3447772,0
31,1,1,670.95,735.1515152,681.0789474,722.75,1,0.825,0.95,0.8,670.95,891.0927456,716.9252078,903.4375,1
32,1,1,699.5135135,773.68,712.2666667,762.6956522,0.925,0.625,0.75,0.575,756.2308254,1237.888,949.6888889,1326.427221,1
33,1,1,637.0882353,665.2285714,723.4285714,723.3947368,0.85,0.875,0.875,0.95,749.5155709,760.2612245,826.7755102,761.468144,1
34,1,1,566.375,556.4594595,576.3823529,586.3783784,1,0.925,0.85,0.925,566.375,601.577794,678.0968858,633.9225712,1
35,1,1,514.6111111,538.1282051,607.9189189,626.4054054,0.9,0.975,0.95,0.925,571.7901235,551.9263642,639.9146515,677.1950329,1
36,1,1,615.8717949,626.65,689.1111111,689.1025641,1,1,0.9,0.975,615.8717949,626.65,765.6790123,706.7718606,1
37,1,1,682,708.8918919,690.7179487,734.4210526,0.975,0.925,0.975,0.95,699.4871795,766.3696129,708.4286654,773.0747922,1
38,1,1,614.1794872,603.2051282,616.5405405,630.9411765,0.975,0.975,0.925,0.875,629.9276792,618.6719264,666.5303141,721.0756303,1
39,1,1,601.975,601.6578947,627.0263158,632.6842105,1,0.95,0.95,0.95,601.975,633.3240997,660.0277008,665.9833795,1
40,1,1,636.35,687.4864865,673.1612903,740.4333333,1,0.925,0.775,0.75,636.35,743.228634,868.5952133,987.2444444,1
41,1,1,599.1538462,635.8205128,575.6756757,612.4,0.975,0.975,0.925,0.875,614.5167653,652.1236029,622.3520818,699.8857143,1
42,1,1,636.4848485,642.3142857,627.7714286,658.6944444,0.825,0.9,0.875,0.9,771.496786,713.6825397,717.4530612,731.882716,1
