subj,fbgrp,blockorder,MC.C,MC.IC,MIC.C,MIC.IC,MC.C_acc,MC.IC_acc,MIC.C_acc,MIC.IC_acc,MC.C_IE,MC.IC_IE,MIC.C_IE,MIC.IC_IE,Experiment
77,1,2,630.2385321,698.8823529,599.5384615,582.2260274,0.715909091,0.5625,0.8125,0.892045455,880.3331877,1242.457516,737.8934911,652.6865021,1
78,1,2,587.8918919,568.25,505.25,497.9251701,0.965909091,0.90625,1,0.982954545,608.6410175,627.0344828,505.25,506.5597106,1
79,1,2,616.5266667,626.7916667,560.875,593.4161491,0.960227273,0.75,1,0.994318182,642.0632742,835.7222222,560.875,596.8070985,1
80,1,2,570.3087248,574.516129,513,558.2450331,0.988636364,0.96875,0.96875,0.977272727,576.8639975,593.0489074,529.5483871,571.2274757,1
81,1,2,546.9803922,523.28125,518.25,519.5099338,0.977272727,1,1,0.982954545,559.7008664,523.28125,518.25,528.5187766,1
82,1,2,608.8,632.2083333,560.8148148,605.0141844,0.931818182,0.75,0.84375,0.920454545,653.3463415,842.9444444,664.6694102,657.2993608,1
83,1,2,546.8101266,552.5625,527.75,530.0326797,1,1,1,0.988636364,546.8101266,552.5625,527.75,536.1250094,1
84,1,2,648.58,650.0322581,653.0344828,650.4195804,0.948863636,0.96875,0.90625,0.914772727,683.5334132,671.0010406,720.5897741,711.017678,1
85,1,2,592.2569444,594.34375,582.3,585.85,0.926136364,1,0.9375,0.920454545,639.4921609,594.34375,621.12,636.4790123,1
86,1,2,600.8767123,631.9,658.3684211,664.5346535,0.943181818,0.9375,0.59375,0.625,637.0741046,674.0266667,1108.831025,1063.255446,1
87,1,2,663.2814815,674,578.9655172,621.2112676,0.943181818,0.78125,0.90625,0.914772727,703.2381972,862.72,638.8585018,679.0880938,1
88,1,2,588.2960526,658.1,554.09375,616.9864865,0.988636364,0.9375,1,0.971590909,595.0580762,701.9733333,554.09375,635.027027,1
89,1,2,619.1688312,717.8,599.9032258,602.4620253,0.977272727,0.9375,0.96875,0.977272727,633.5681063,765.6533333,619.2549428,616.4727701,1
90,1,2,556.9197531,552.6774194,540.516129,556.5342466,0.982954545,1,0.96875,0.994318182,566.5773211,552.6774194,557.9521332,559.7144423,1
91,2,1,658.0916667,665.5185185,630.4642857,649.4338235,0.784090909,0.84375,0.875,0.857954545,839.305314,788.7626886,720.5306122,756.9559797,0
92,2,1,637.5220126,672.4137931,638.09375,638.4375,0.994318182,0.90625,1,0.960227273,641.1649955,741.9738407,638.09375,664.8816568,0
93,2,1,717.6034483,692.5,708.8571429,725.8135593,0.755681818,0.5,0.65625,0.770114943,949.6105782,1385,1080.163265,942.4743233,0
94,2,1,634.6938776,632.9,627.04,647.9568345,0.948863636,0.9375,0.78125,0.931818182,668.8989368,675.0933333,802.6112,695.3683102,0
95,2,1,664.2536232,702.7931034,673.9333333,668.5131579,0.903409091,0.90625,0.9375,0.954545455,735.2744508,775.4958383,718.8622222,700.3471178,0
96,2,1,666.7173913,730.0416667,699.2758621,712.048,0.846590909,0.75,0.90625,0.795454545,787.5319521,973.3888889,771.6147444,895.1460571,0
97,2,1,572.5833333,588.7586207,587.8709677,624.6363636,0.960227273,0.90625,0.96875,0.863636364,596.2998028,649.6646849,606.8345473,723.2631579,0
98,2,1,562.3972603,567.7241379,548.1034483,564.9097222,0.897727273,0.90625,0.9375,0.931818182,626.4678342,626.4542212,584.6436782,606.2445799,0
99,2,1,530.7891156,534.5,522.7741935,536.9795918,0.943181818,1,0.96875,0.965909091,562.7643636,534.5,539.6378772,555.9318127,0
100,2,1,531.7531646,596.34375,512.34375,537.6903226,1,1,1,0.988636364,531.7531646,596.34375,512.34375,543.8706711,0
101,2,1,718.3709677,693.8571429,692.8333333,731.1165049,0.806818182,0.875,0.75,0.710227273,890.375284,792.9795918,923.7777778,1029.412039,0
102,2,1,566.9509202,643.7,573.3125,578.6038961,0.982954545,0.9375,1,0.982954545,576.7824391,686.6133333,573.3125,588.6374897,0
103,2,1,566.2550336,577.0344828,574.3448276,635.5347222,0.965909091,0.90625,0.90625,0.886363636,586.2405053,636.7277051,633.7598098,717.0135328,0
104,2,1,634.4026846,630.6875,665.6774194,640.0377358,0.965909091,1,0.96875,0.994318182,656.7933675,630.6875,687.1508845,643.6950943,0
105,2,1,541,561.7741935,527.0645161,566.589404,0.965909091,1,0.96875,0.960227273,560.0941176,561.7741935,544.0665973,590.0576041,0
106,2,2,664.4551724,694.44,639.8275862,667.3576159,0.926136364,0.78125,0.90625,0.926136364,717.4485297,888.8832,706.0166468,720.5824564,0
107,2,2,689.5095541,709.8064516,691.8275862,695.4489796,0.965909091,0.96875,0.90625,0.9375,713.8451855,732.7034339,763.3959572,741.8122449,0
108,2,2,586.2,590.4516129,604.2758621,596.7045455,0.926136364,0.96875,0.90625,0.852272727,632.9521472,609.4984391,666.7871581,700.1333333,0
109,2,2,633.4285714,615.2666667,605.4193548,596.5833333,0.943181818,0.9375,0.96875,0.931818182,671.5869191,656.2844444,624.9490114,640.2357724,0
110,2,2,550.6381579,590.6774194,579.78125,557.490566,0.943181818,0.96875,1,0.971590909,583.8091313,609.7315297,579.78125,573.7914598,0
111,2,2,607.4367089,623,640.53125,616.4161074,0.988636364,0.96875,1,0.982954545,614.41874,643.0967742,640.53125,627.105404,0
112,2,2,624.3407407,634.875,668.1153846,646.0503597,0.827586207,0.5,0.8125,0.886363636,754.4117284,1269.75,822.295858,728.8773289,0
113,2,2,641.1167883,650.5,615.5666667,648.5581395,0.880681818,0.8125,0.9375,0.818181818,727.9777725,800.6153846,656.6044444,792.6821705,0
114,2,2,654.437037,663.875,687.2666667,682.9323308,0.829545455,0.75,0.9375,0.801136364,788.9104008,885.1666667,733.0844444,852.4545406,0
115,2,2,636.9428571,713.3809524,662.1034483,688.625,0.857954545,0.65625,0.90625,0.8125,742.3969726,1087.056689,730.5969084,847.5384615,0
116,2,2,600.9655172,627.7692308,581.3928571,585.9261745,0.943181818,0.8125,0.875,0.954545455,637.1682592,772.6390533,664.4489796,613.8274209,0
117,2,2,689.6821192,729.9642857,705.7931034,689.0748299,0.948863636,0.875,0.90625,0.943181818,726.8506166,834.244898,778.8061831,730.5853619,0
118,2,2,646.4746835,669.8064516,600.3793103,613.4615385,0.994318182,1,0.90625,0.977272727,650.1688246,669.8064516,662.4875149,627.7280859,0
119,2,2,641.9928058,654.7727273,703.1666667,660.0714286,0.852272727,0.6875,0.78125,0.971590909,753.2715588,952.3966942,900.0533333,679.3717627,0
120,2,2,502.0536913,570.6774194,482.2,460.9375,0.965909091,0.96875,0.9375,0.988636364,519.7732333,589.0863684,514.3466667,466.2356322,0
121,2,1,577.2605634,577.2580645,592.3103448,618.4480519,0.920454545,0.96875,0.90625,0.926136364,627.1472787,595.8792924,653.5838288,667.7721297,1
122,2,1,541.6862745,543.2,563.6875,569.8451613,0.965909091,0.9375,1,0.988636364,560.8046136,579.4133333,563.6875,576.3951057,1
123,2,1,633.0067114,627.9354839,605.15625,641.1733333,0.971590909,0.96875,1,0.971590909,651.5156796,648.1914672,605.15625,659.9210916,1
124,2,1,690.7342657,728.5833333,703.3333333,759.8317757,0.903409091,0.75,0.75,0.6875,764.586357,971.4444444,937.7777778,1105.209856,1
125,2,1,546.2875,639.5555556,565.3870968,578.1357143,0.977272727,0.84375,0.96875,0.954545455,558.9918605,757.9917695,583.6253902,605.6659864,1
126,2,1,602.4236111,635.92,583.0344828,587.3216783,0.914772727,0.78125,0.90625,0.920454545,658.5500345,813.9776,643.3483948,638.0778727,1
127,2,1,577.9220779,575.2666667,605.59375,600.3310811,0.988636364,0.96875,1,0.977272727,584.5648604,593.8236559,605.59375,614.292269,1
128,2,1,597.9876543,639.59375,569.3125,554.0251572,0.982954545,1,1,0.994318182,608.3573824,639.59375,569.3125,557.1910153,1
129,2,1,623.2352941,639.4285714,653,654.6567164,0.954545455,0.875,0.875,0.886363636,652.9131653,730.7755102,746.2857143,738.5870647,1
130,2,1,603.2941176,619.1785714,645.0689655,656.3138686,0.943181818,0.875,0.90625,0.897727273,639.6371368,707.6326531,711.8002378,731.083803,1
131,2,1,618.4934211,647.4333333,637.137931,671.3541667,0.977272727,0.9375,0.9375,0.9375,632.876989,690.5955556,679.6137931,716.1111111,1
132,2,1,550.0261438,556.2758621,574.6071429,592.9637681,0.954545455,0.90625,0.875,0.886363636,576.2178649,613.8216409,656.6938776,668.984764,1
133,2,1,745.3426573,804.2941176,755.1923077,726.4596774,0.909090909,0.53125,0.8125,0.801136364,819.8769231,1513.965398,929.4674556,906.7865477,1
134,2,1,572.0680272,554.6774194,554.7777778,634.4109589,0.948863636,0.96875,0.84375,0.897727273,602.8980407,572.5702393,657.5144033,706.6856251,1
135,2,1,628.5359477,650.7666667,712.2307692,677.4832215,0.965909091,0.9375,0.84375,0.965909091,650.7195694,694.1511111,844.1253561,701.394394,1
136,2,1,640.9724138,645.9333333,699.1666667,692.0416667,0.903409091,0.9375,0.9375,0.909090909,709.5040555,688.9955556,745.7777778,761.2458333,1
137,2,1,593.4258065,685.2758621,620.3125,630.9068323,0.982954545,0.90625,1,0.982954545,603.7164274,756.1664685,620.3125,641.8474132,1
138,2,1,513.0662252,518.5333333,539.2758621,542.3378378,0.965909091,0.9375,0.90625,0.960227273,531.1744449,553.1022222,595.0630202,564.8015353,1
139,2,1,604.5466667,596.6774194,631.9666667,617.8604651,0.954545455,0.96875,0.9375,0.857954545,633.3346032,615.925078,674.0977778,720.1552441,1
140,2,1,554.2962963,589.53125,579.25,585.5384615,0.988636364,1,1,0.994318182,560.6675181,589.53125,579.25,588.8843956,1
141,2,1,634.4,652.3076923,668.3666667,672.0897436,0.931818182,0.8125,0.9375,0.954545455,680.8195122,802.8402367,712.9244444,704.0940171,1
142,2,1,591.6265823,624.7419355,688.5483871,648.6078431,1,0.96875,0.96875,0.960227273,591.6265823,644.8949011,710.7596254,675.4732568,1
143,2,1,579.0555556,568.2068966,587.6551724,604.5492958,0.9375,0.90625,0.90625,0.886363636,617.6592593,626.9869203,648.4470868,682.0556157,1
144,2,1,535.8961039,568.9285714,517.5517241,564.9795918,0.977272727,0.875,0.9375,0.948863636,548.358804,650.2040816,552.0551724,595.4275938,1
145,2,1,576.5503356,663.4074074,643.1935484,599.6283784,0.954545455,0.84375,0.96875,0.954545455,604.0051135,786.260631,663.9417274,628.1821107,1
146,2,1,855.8897059,868.92,893.4230769,871.9795918,0.869318182,0.78125,0.84375,0.931818182,984.5528643,1112.2176,1058.871795,935.7829766,1
147,2,1,582.1623377,584.2758621,621.2068966,612.4025157,0.960227273,0.90625,0.90625,0.988636364,606.2755706,644.7181926,685.469679,619.4416251,1
148,2,1,678.1111111,659.2666667,649.5,660.6883117,0.971590909,0.9375,1,1,697.9389214,703.2177778,649.5,660.6883117,1
149,2,1,661.2789116,655.9666667,618.3214286,606.6375839,0.948863636,0.9375,0.875,0.943181818,696.9166972,699.6977778,706.6530612,643.1820167,1
150,2,1,575.0510949,569.8846154,559.7391304,550.109375,0.931818182,0.8125,0.71875,0.8125,617.1280043,701.3964497,778.7674858,677.0576923,1
151,2,2,628.1409396,652.5185185,596.4642857,626.7692308,0.920454545,0.84375,0.875,0.909090909,682.4247245,773.3552812,681.6734694,689.4461538,1
152,2,2,493.1677852,497.1935484,521.8709677,502.0980392,0.965909091,0.96875,1,0.982954545,510.5737071,513.2320499,521.8709677,510.8049416,1
153,2,2,629.50625,674.0625,600.0666667,605.6225166,1,1,0.9375,0.982954545,629.50625,674.0625,640.0711111,616.1246411,1
154,2,2,627.8680556,648.0769231,712.2692308,668.8789809,0.926136364,0.8125,0.8125,0.971590909,677.9434219,797.6331361,876.6390533,688.4368458,1
155,2,2,613.5035971,662.8571429,636.76,595.3169014,0.897727273,0.65625,0.84375,0.903409091,683.396412,1010.068027,754.6785185,658.9671362,1
156,2,2,523.5578231,599.8,515.875,525.189781,0.943181818,0.78125,0.75,0.892045455,555.097451,767.744,687.8333333,588.74778,1
157,2,2,696.3806452,703.59375,680.2903226,671.3821656,0.994318182,1,0.96875,0.994318182,700.3599631,703.59375,702.2351717,675.2186351,1
158,2,2,675.1702128,656.3461538,623.2857143,653.027972,0.931818182,0.8125,0.875,0.920454545,724.5729113,807.8106509,712.3265306,709.4624881,1
159,2,2,654.1176471,622.15625,639.3225806,625.7908497,0.960227273,1,0.96875,0.971590909,681.2112774,622.15625,659.9458897,644.0888277,1
160,2,2,539.6066667,642.08,530.7,545.3576159,0.965909091,0.78125,0.9375,0.954545455,558.6516078,821.8624,566.08,571.3270262,1
161,2,2,652.6934307,654.2142857,718.6666667,653.3496503,0.886363636,0.875,0.875,0.960227273,736.3720756,747.6734694,821.3333333,680.4114702,1
162,2,2,588.3741497,598.6875,571.6333333,568.3741497,0.926136364,1,0.9375,0.9375,635.2996953,598.6875,609.7422222,606.2657596,1
163,2,2,533.6772152,546.3225806,524.8709677,551.5034014,0.977272727,0.96875,0.96875,0.988636364,546.0883132,563.9458897,541.8022893,557.8425209,1
164,2,2,670.2676056,670.7931034,661.5333333,684.1942446,0.903409091,0.90625,0.9375,0.920454545,741.9314377,740.1854935,705.6355556,743.3221423,1
165,2,2,685.3943662,723.2962963,652.0357143,668.7342657,0.897727273,0.84375,0.875,0.886363636,763.4772687,857.2400549,745.1836735,754.469428,1
166,2,2,671.0821918,703.8,642.5517241,639.5133333,0.948863636,0.625,0.90625,0.931818182,707.2482979,1126.08,709.0225922,686.3069919,1
167,2,2,657.0758621,657.2413793,593.4333333,584.0909091,0.965909091,0.90625,0.9375,0.977272727,680.2667748,725.2318668,632.9955556,597.6744186,1
168,2,2,569.6993865,578.3125,547.2580645,540.0394737,0.994318182,1,1,1,572.9548116,578.3125,547.2580645,540.0394737,1
169,2,2,648.6578947,753.5833333,708.5555556,696.3583333,0.943181818,0.75,0.84375,0.767045455,687.7336715,1004.777778,839.7695473,907.8449383,1
170,2,2,656.7246377,728.3333333,617.3448276,615.3223684,0.892045455,0.65625,0.90625,0.948863636,736.2008677,1109.84127,681.2080856,648.4834541,1
171,2,2,611.6967742,595.2258065,601.8709677,637.0066667,0.960227273,0.96875,0.96875,0.960227273,637.033327,614.4266389,621.2861602,663.3915582,1
172,2,2,693.5285714,675.7586207,749.6666667,715.904,0.926136364,0.90625,0.75,0.840909091,748.8406661,745.6646849,999.5555556,851.3452973,1
173,2,2,675.515528,664.9032258,630.0322581,643.725,0.988636364,0.96875,0.96875,0.977272727,683.2800742,686.351717,650.3558793,658.6953488,1
174,2,2,655.2165605,716.76,672.12,691.4117647,0.954545455,0.78125,0.78125,0.892045455,686.4173491,917.4528,860.3136,775.0857999,1
175,2,2,593.5945946,611.6551724,562.3125,582.2450331,0.965909091,0.9375,1,0.982954545,614.5449921,652.4321839,562.3125,592.3417678,1
176,2,2,612.2352941,655.5172414,604.53125,602.3026316,0.954545455,0.90625,1,0.965909091,641.3893557,723.3293698,604.53125,623.5603715,1
177,2,2,647.9041096,633.6551724,657.1612903,672.537415,0.943181818,0.90625,0.96875,0.954545455,686.9344776,699.2057075,678.3600416,704.5630062,1
178,2,2,773.5565217,808.1666667,791.9259259,752.4927536,0.732954545,0.5625,0.84375,0.846590909,1055.394944,1436.740741,938.5788752,888.8505009,1
179,2,2,683.6857143,691.75,590.2413793,641.016,0.869318182,0.8125,0.90625,0.863636364,786.4619981,851.3846154,651.3008323,742.2290526,1
180,2,2,566.1564626,596.3666667,535,553.0394737,0.9375,0.9375,0.96875,0.954545455,603.9002268,636.1244444,552.2580645,579.3746867,1
