subjID,fb,MIC.C,MIC.IC,MC.C,MC.IC,MIC.C.T,MIC.IC.T,MC.C.T,MC.IC.T,Experiment
126,2,855.62,834.9782609,869.9051095,862.7674419,830.7878788,833.0689655,846.8518519,849.6296296,1
127,2,597.2830189,620.5987261,602.3354839,603.1176471,606.9411765,639.75,612.3636364,605.8,1
128,2,674.2075472,691.1176471,686.0347222,657.8627451,662.9714286,671.5,670.25,632.71875,1
129,2,551.9811321,567.7973856,550.1917808,548.8490566,551.2285714,562.0588235,549,550.9090909,1
130,2,530.9183673,520.1034483,524.0410959,543.0943396,536.1714286,533.3823529,530.4242424,557.3714286,1
131,2,583.1296296,607.9490446,612.5231788,599.0185185,598.5555556,597.7272727,616.6060606,590.5151515,1
132,2,881.0425532,882.9015152,887.7622951,907.5238095,857.25,859.9333333,894.5185185,883.5666667,1
133,2,612.6666667,633.2152778,622.9370629,668.6666667,603.8235294,609.0833333,598.7058824,592.625,1
134,2,522.1296296,573.751634,540.4437086,581.9615385,513.7714286,534.8529412,511.1142857,515.7647059,1
135,2,638.3333333,666.8367347,638.883871,665.4705882,627.1666667,621.5,626.0294118,637.5882353,1
136,2,632.7222222,666.3971631,611.6338028,626.6078431,605.15625,622.4857143,617.3636364,621.6571429,1
137,2,532.7346939,541.6887417,512.3541667,548.0566038,519.5142857,516.3823529,489.5142857,500.6388889,1
138,2,582.02,592.4496644,598.0851064,592.5882353,602.125,630.0588235,609.9032258,620.3823529,1
139,2,610.6086957,630.5540541,612.3724138,641.6,667.6774194,662.21875,628.6666667,637.625,1
140,2,573.5686275,605.1843972,626.9205298,646.25,750.483871,762.59375,776.9714286,781.1333333,1
141,2,562.9607843,585.4370861,594.4217687,589.8958333,556.9166667,565.90625,577.8235294,608.59375,1
142,2,580.9056604,558.0890411,589.3194444,627.3469388,535.15625,552.8235294,571.1142857,586.9666667,1
143,2,620.44,607.4307692,637.2714286,701.1388889,599.3333333,559.3125,667.875,697.12,1
144,2,689.9545455,692.3095238,723.057971,710.96,681.6521739,698.5384615,746.1666667,723.0526316,1
145,2,617.5283019,614.8525641,646.1363636,656.12,605.8055556,611.7222222,649.0882353,658.3888889,1
146,2,648.2916667,680.1714286,676.7681159,675.0961538,641.1142857,642.3428571,660.8484848,684.7741935,1
147,2,695.2692308,680.986755,704.2176871,703.3076923,708.2058824,680,715.0588235,693.4117647,1
148,2,635.254902,639.8188406,675.1386861,689.6888889,593.3235294,625.6666667,667.6451613,658.1290323,1
149,2,886.5454545,888.4769231,889.90625,879.6571429,899.5,885.1034483,901.1153846,914.3870968,1
150,2,678.8372093,670.9430894,695.9354839,704.9444444,621.8235294,618,644.1470588,637.875,1
151,2,759.18,764.5407407,785.3241379,805.3478261,788.6176471,770,791.1818182,785.5714286,1
152,2,649,644.8797468,642.3311688,646.3518519,617.4705882,599.9090909,617.1818182,612.1714286,1
153,2,635.2222222,672.1788079,726.8355263,751,643.2571429,641.3529412,721,693.2058824,1
154,2,630.9583333,638.2631579,652.7622378,663.56,612.6857143,628.2941176,600.3030303,618.9411765,1
155,2,722.7708333,752.7007299,755.5804196,754.5675676,690.3235294,703.125,746.8823529,734.9375,1
156,2,657.8113208,685,666.7935484,707.9433962,647.3529412,639,648.9714286,649.0882353,1
157,2,618.5686275,665.2191781,672.1156463,675.8163265,646.5625,652.4242424,634.6875,632.7096774,1
158,2,584.1176471,592.2142857,595.057971,635.2653061,581.6875,617.9117647,586.875,616.4,1
159,2,671.8653846,679.5786164,661.0333333,663.0769231,663.0606061,682.8787879,673.969697,700.1212121,1
160,2,640.4716981,659.442953,714.3959732,748.7959184,632.0285714,653.5882353,674.0294118,679.7941176,1
161,2,687.92,701.375,640.8482759,652,639.6363636,665.2285714,636.9428571,631.1111111,1
162,2,756.4230769,773.1134752,719.7342657,776.4130435,762.483871,787.5882353,742.5,726.8787879,1
163,2,623,616.8039216,614.25,618.4230769,614.8888889,624.40625,625.0588235,649.2777778,1
164,2,645.96,667.6143791,660.0902778,660.6078431,673.5294118,695.25,653.5,658.5454545,1
165,2,661.2608696,695.1544715,676.1417323,698.4146341,666.1052632,703.0526316,649.6666667,704.8,1
166,2,643.6346154,656.1586207,637.2649007,644.6415094,648.4848485,630.96875,635.4705882,632.3333333,1
167,2,616.88,657.0071942,625.5684932,659.34,617,636.03125,589.2058824,611.5142857,1
168,2,612.2264151,615.1486486,587.0714286,618.6923077,631.9166667,620.2727273,572.8823529,584.9444444,1
169,2,666.9803922,664.4832215,649.2631579,647.7142857,612.8076923,623,634.1612903,637.1818182,1
170,2,617.7115385,632.3866667,646.589404,663.3846154,588.5428571,589.6111111,635.0588235,660.4242424,1
171,2,608.3018868,604.3931034,664.5655172,676.1818182,590.2727273,611.3333333,628.6875,651.9677419,1
172,2,545.4042553,596.3537415,583.1760563,590.0588235,551.4411765,566.3428571,603.4444444,595.1428571,1
173,2,673.6415094,705.8630137,717.013986,715.0416667,709.3235294,735.7941176,746.1388889,721.7777778,1
174,2,647.6037736,636.3767123,668.3793103,664.3191489,601.7419355,623.2647059,655.9393939,638.7352941,1
175,2,673.6415094,705.8630137,717.013986,715.0416667,709.3235294,735.7941176,746.1388889,721.7777778,1
176,2,739.3333333,771.4,742.620915,753.54,696.7352941,722.3235294,710.7142857,692.1875,1
177,2,662.32,698.6180556,725.1304348,745.6363636,649.3823529,619.0909091,678.6857143,671.5588235,1
178,2,518,513.8571429,521.3961039,517.6981132,496.3636364,522.5142857,512.6764706,526.3823529,1
179,2,597.8269231,597.0763889,601.2105263,605.4038462,561.4166667,568.5277778,574.5882353,612.9117647,1
180,2,595.56,620.4027778,637.2773723,633.4042553,592.7647059,613.1764706,615.6060606,633.3823529,1
