subjID,fb,MIC.C,MIC.IC,MC.C,MC.IC,MIC.C.T,MIC.IC.T,MC.C.T,MC.IC.T,Experiment
128,2,0.981481481,0.944785276,0.932098765,0.962264151,0.972222222,0.942857143,1,0.918918919,1
129,2,0.981481481,0.98136646,0.938271605,0.963636364,0.972222222,0.972222222,0.918918919,0.971428571,1
130,2,0.925925926,0.938271605,0.937888199,0.963636364,0.972222222,0.945945946,0.916666667,1,1
131,2,1,0.981481481,0.981481481,1,0.972972973,0.972222222,0.942857143,0.944444444,1
132,2,0.87037037,0.845679012,0.770186335,0.763636364,0.888888889,0.837837838,0.777777778,0.857142857,1
133,2,1,0.913580247,0.907407407,1,0.944444444,1,0.944444444,0.916666667,1
134,2,0.981818182,0.97515528,0.969135802,0.962962963,0.972222222,0.944444444,0.972222222,0.972222222,1
135,2,0.981818182,0.962732919,0.987654321,0.944444444,0.916666667,0.972222222,0.944444444,0.944444444,1
136,2,0.981818182,0.913580247,0.919753086,0.962264151,0.944444444,0.972222222,0.916666667,1,1
137,2,0.943396226,0.969325153,0.950617284,0.981481481,0.972222222,0.944444444,0.972222222,1,1
138,2,0.909090909,0.962962963,0.925465839,0.944444444,0.888888889,0.972222222,0.916666667,0.972222222,1
139,2,0.851851852,0.926380368,0.937888199,0.925925926,0.861111111,0.944444444,0.833333333,0.888888889,1
140,2,0.927272727,0.907407407,0.97515528,0.888888889,0.885714286,0.888888889,0.945945946,0.833333333,1
141,2,0.944444444,0.957055215,0.937888199,0.888888889,1,0.942857143,0.945945946,0.888888889,1
142,2,0.963636364,0.937888199,0.938271605,0.907407407,0.971428571,0.972222222,0.972222222,0.837837838,1
143,2,0.925925926,0.838509317,0.895705521,0.666666667,0.916666667,0.888888889,0.914285714,0.702702703,1
144,2,0.814814815,0.819875776,0.87654321,0.909090909,0.621621622,0.722222222,0.666666667,0.542857143,1
145,2,1,0.975308642,0.981595092,0.944444444,1,1,0.944444444,1,1
146,2,0.888888889,0.900621118,0.882716049,0.945454545,0.972222222,1,0.918918919,0.914285714,1
147,2,0.962962963,0.975308642,0.944444444,0.962962963,0.945945946,0.972222222,1,0.972222222,1
148,2,0.944444444,0.869565217,0.864197531,0.836363636,0.944444444,0.864864865,0.861111111,0.885714286,1
149,2,0.830188679,0.820987654,0.803680982,0.648148148,0.861111111,0.833333333,0.75,0.861111111,1
150,2,0.796296296,0.766871166,0.802469136,0.679245283,0.944444444,1,0.944444444,0.891891892,1
151,2,0.925925926,0.851851852,0.919753086,0.851851852,0.944444444,0.944444444,0.942857143,0.945945946,1
152,2,1,0.993865031,0.99378882,1,0.944444444,0.916666667,0.944444444,1,1
153,2,0.981818182,0.98136646,0.956790123,0.962962963,1,0.945945946,0.944444444,0.944444444,1
154,2,0.888888889,0.869565217,0.932515337,0.925925926,0.972222222,0.972222222,0.942857143,0.918918919,1
155,2,0.888888889,0.888888889,0.919254658,0.672727273,0.944444444,0.918918919,0.944444444,0.914285714,1
156,2,0.981481481,0.975460123,0.98136646,0.981481481,0.918918919,0.971428571,0.972222222,0.944444444,1
157,2,0.944444444,0.925925926,0.944444444,0.907407407,0.944444444,0.944444444,0.888888889,0.916666667,1
158,2,0.944444444,0.906832298,0.907407407,0.890909091,0.888888889,0.944444444,0.864864865,0.885714286,1
159,2,0.945454545,0.99382716,0.969135802,0.981132075,0.942857143,0.916666667,0.944444444,0.972972973,1
160,2,0.981481481,0.969135802,0.956521739,0.890909091,0.972972973,0.972222222,0.972222222,0.971428571,1
161,2,0.925925926,0.919254658,0.932515337,0.925925926,0.944444444,0.972972973,1,1,1
162,2,0.963636364,0.895061728,0.913043478,0.851851852,0.885714286,0.944444444,0.888888889,0.891891892,1
163,2,1,0.981481481,0.981481481,0.981481481,0.972972973,0.916666667,1,1,1
164,2,0.925925926,0.956790123,0.950310559,0.945454545,0.972222222,1,0.945945946,0.942857143,1
165,2,0.87037037,0.783950617,0.813664596,0.763636364,0.555555556,0.527777778,0.722222222,0.722222222,1
166,2,0.945454545,0.944099379,0.969135802,0.981481481,0.942857143,0.888888889,0.918918919,0.916666667,1
167,2,0.943396226,0.888888889,0.938650307,0.925925926,0.944444444,0.916666667,0.971428571,0.945945946,1
168,2,1,0.956790123,0.975308642,0.962962963,1,0.944444444,0.971428571,0.972972973,1
169,2,0.944444444,0.926380368,0.857142857,0.925925926,0.722222222,0.805555556,0.861111111,0.916666667,1
170,2,0.981481481,0.969135802,0.956521739,0.945454545,1,0.972972973,0.944444444,0.942857143,1
171,2,0.981481481,0.969135802,0.944099379,0.8,0.916666667,0.916666667,0.888888889,0.916666667,1
172,2,0.888888889,0.90797546,0.925465839,0.944444444,0.972222222,1,1,0.972972973,1
173,2,0.981481481,0.944444444,0.925925926,0.888888889,0.972222222,0.972222222,1,1,1
174,2,0.981481481,0.944099379,0.938650307,0.87037037,0.861111111,0.972222222,0.942857143,0.918918919,1
175,2,0.981481481,0.944444444,0.925925926,0.888888889,0.972222222,0.972222222,1,1,1
176,2,0.981818182,0.975308642,0.98757764,0.925925926,0.944444444,0.972222222,0.972222222,0.972222222,1
177,2,0.909090909,0.925925926,0.900621118,0.833333333,1,0.918918919,1,0.972222222,1
178,2,0.981481481,0.987654321,0.975308642,0.981481481,0.916666667,0.972222222,0.944444444,0.972222222,1
179,2,0.962962963,0.962732919,0.969135802,0.945454545,1,1,1,0.944444444,1
180,2,0.927272727,0.925925926,0.888198758,0.87037037,0.971428571,0.944444444,0.891891892,0.972222222,1
